kode_kabupaten,nama_kabupaten,kode_kec,nama_kec
060600,"Kab. Aceh Barat, Prov. Aceh",060611,"Kec. Arongan Lambalek"
060600,"Kab. Aceh Barat, Prov. Aceh",060610,"Kec. Bubon"
060600,"Kab. Aceh Barat, Prov. Aceh",060605,"Kec. Johan Pahlawan"
060600,"Kab. Aceh Barat, Prov. Aceh",060608,"Kec. Kaway XVI"
060600,"Kab. Aceh Barat, Prov. Aceh",060612,"Kec. Meureubo"
060600,"Kab. Aceh Barat, Prov. Aceh",060613,"Kec. Pantee Ceureumen"
060600,"Kab. Aceh Barat, Prov. Aceh",060616,"Kec. Panton Reu"
060600,"Kab. Aceh Barat, Prov. Aceh",060606,"Kec. Samatiga"
060600,"Kab. Aceh Barat, Prov. Aceh",060609,"Kec. Sungai Mas"
060600,"Kab. Aceh Barat, Prov. Aceh",060607,"Kec. Woyla"
060600,"Kab. Aceh Barat, Prov. Aceh",060614,"Kec. Woyla Barat"
060600,"Kab. Aceh Barat, Prov. Aceh",060615,"Kec. Woyla Timur"
061700,"Kab. Aceh Barat Daya, Prov. Aceh",061706,"Kec. Babahrot"
061700,"Kab. Aceh Barat Daya, Prov. Aceh",061703,"Kec. Blangpidie"
061700,"Kab. Aceh Barat Daya, Prov. Aceh",061709,"Kec. Jeumpa"
061700,"Kab. Aceh Barat Daya, Prov. Aceh",061705,"Kec. Kuala Batee"
061700,"Kab. Aceh Barat Daya, Prov. Aceh",061707,"Kec. Lembah Sabil"
061700,"Kab. Aceh Barat Daya, Prov. Aceh",061701,"Kec. Manggeng"
061700,"Kab. Aceh Barat Daya, Prov. Aceh",061708,"Kec. Setia"
061700,"Kab. Aceh Barat Daya, Prov. Aceh",061704,"Kec. Susoh"
061700,"Kab. Aceh Barat Daya, Prov. Aceh",061702,"Kec. Tangan-Tangan"
060100,"Kab. Aceh Besar, Prov. Aceh",060118,"Kec. Baitussalam"
060100,"Kab. Aceh Besar, Prov. Aceh",060123,"Kec. Blang Bintang"
060100,"Kab. Aceh Besar, Prov. Aceh",060111,"Kec. Darul Imarah"
060100,"Kab. Aceh Besar, Prov. Aceh",060122,"Kec. Darul Kamal"
060100,"Kab. Aceh Besar, Prov. Aceh",060106,"Kec. Darussalam"
060100,"Kab. Aceh Besar, Prov. Aceh",060103,"Kec. Indrapuri"
060100,"Kab. Aceh Besar, Prov. Aceh",060109,"Kec. Ingin Jaya"
060100,"Kab. Aceh Besar, Prov. Aceh",060117,"Kec. Kota Jantho"
060100,"Kab. Aceh Besar, Prov. Aceh",060119,"Kec. Krung Barona Jaya"
060100,"Kab. Aceh Besar, Prov. Aceh",060107,"Kec. Kuta Baro"
060100,"Kab. Aceh Besar, Prov. Aceh",060121,"Kec. Kuta Cot Glie"
060100,"Kab. Aceh Besar, Prov. Aceh",060115,"Kec. Kuta Malaka"
060100,"Kab. Aceh Besar, Prov. Aceh",060116,"Kec. Leumbah Seulewah"
060100,"Kab. Aceh Besar, Prov. Aceh",060114,"Kec. Leupung"
060100,"Kab. Aceh Besar, Prov. Aceh",060102,"Kec. Lhoknga"
060100,"Kab. Aceh Besar, Prov. Aceh",060101,"Kec. Lhoong"
060100,"Kab. Aceh Besar, Prov. Aceh",060105,"Kec. Mesjid Raya"
060100,"Kab. Aceh Besar, Prov. Aceh",060108,"Kec. Montasik"
060100,"Kab. Aceh Besar, Prov. Aceh",060112,"Kec. Peukan Bada"
060100,"Kab. Aceh Besar, Prov. Aceh",060113,"Kec. Pulo Aceh"
060100,"Kab. Aceh Besar, Prov. Aceh",060104,"Kec. Seulimeum"
060100,"Kab. Aceh Besar, Prov. Aceh",060120,"Kec. Simpang Tiga"
060100,"Kab. Aceh Besar, Prov. Aceh",060110,"Kec. Suka Makmur"
061600,"Kab. Aceh Jaya, Prov. Aceh",061608,"Kec. Darul Hikmah"
061600,"Kab. Aceh Jaya, Prov. Aceh",061607,"Kec. Indra Jaya"
061600,"Kab. Aceh Jaya, Prov. Aceh",061605,"Kec. Jaya"
061600,"Kab. Aceh Jaya, Prov. Aceh",061602,"Kec. Krueng Sabee"
061600,"Kab. Aceh Jaya, Prov. Aceh",061606,"Kec. Panga"
061600,"Kab. Aceh Jaya, Prov. Aceh",061609,"Kec. Pasie Raya"
061600,"Kab. Aceh Jaya, Prov. Aceh",061604,"Kec. Sampoiniet"
061600,"Kab. Aceh Jaya, Prov. Aceh",061603,"Kec. Setia Bakti"
061600,"Kab. Aceh Jaya, Prov. Aceh",061601,"Kec. Teunom"
060700,"Kab. Aceh Selatan, Prov. Aceh",060702,"Kec. Bakongan"
060700,"Kab. Aceh Selatan, Prov. Aceh",060713,"Kec. Bakongan Timur"
060700,"Kab. Aceh Selatan, Prov. Aceh",060703,"Kec. Kluet Selatan"
060700,"Kab. Aceh Selatan, Prov. Aceh",060714,"Kec. Kluet Tengah"
060700,"Kab. Aceh Selatan, Prov. Aceh",060712,"Kec. Kluet Timur"
060700,"Kab. Aceh Selatan, Prov. Aceh",060704,"Kec. Kluet Utara"
